2022-12-31 21:45:02.610388, B/S PRICE:16515.68, TYPE: sell, STOP: 16551.61, TARGET: 16444.51
2022-12-31 22:00:01.623121, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 22:15:01.182068, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 22:30:01.496649, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 22:45:01.047531, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-31 22:57:04.432870, B/S PRICE:16552.13, TYPE: STOP, STOP: 0, TARGET: 0
2022-12-31 23:00:01.520058, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 23:15:01.229158, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 23:30:01.290679, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-31 23:45:01.378977, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 00:00:01.269900, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 00:15:01.934103, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 00:30:01.307263, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 10:33:28.358189, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 10:45:02.442896, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 11:00:00.965718, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 11:15:01.663202, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 11:22:53.622551, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 11:30:03.089824, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 11:45:01.048464, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2023-01-01 12:00:01.340948, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
